CA_on,p,py,w,h,t
1,0.0001,0,6,9,41127.9
0,0.0001,0,6,9,1387.53
1,0.0001,0,6,9,37123.1
0,0.0001,0,6,9,687.194
1,0.0001,0,6,9,27610.6
0,0.0001,0,6,9,1336.18
1,0.0001,0,6,9,81567.9
0,0.0001,0,6,9,1274.52
1,0.0001,0,6,9,313895
0,0.0001,0,6,9,778.953
1,0.0001,0,6,9,91121.8
0,0.0001,0,6,9,1312.5
1,0.0001,0,6,9,29015.4
0,0.0001,0,6,9,658.66
1,0.0001,0,6,9,4908.35
0,0.0001,0,6,9,1401.32
1,0.0001,0,6,9,107099
0,0.0001,0,6,9,874.86
1,0.0001,0,6,9,61052.8
0,0.0001,0,6,9,1109.08
1,0.0001,0,6,9,129465
0,0.0001,0,6,9,509.764
1,0.0001,0,6,9,12007.4
0,0.0001,0,6,9,516.416
1,0.0001,0,6,9,48701
0,0.0001,0,6,9,1138.3
1,0.0001,0,6,9,31419.2
0,0.0001,0,6,9,1338.81
1,0.0001,0,6,9,7743.01
0,0.0001,0,6,9,914.139
1,0.0001,0,6,9,102388
0,0.0001,0,6,9,1101.22
1,0.0001,0,6,9,195164
0,0.0001,0,6,9,997.544
1,0.0001,0,6,9,5677.23
0,0.0001,0,6,9,421.605
1,0.0001,0,6,9,28708.5
0,0.0001,0,6,9,673.626
1,0.0001,0,6,9,146450
0,0.0001,0,6,9,1188.4
1,0.0001,0,6,9,6956.26
0,0.0001,0,6,9,1102.41
1,0.0001,0,6,9,13408.9
0,0.0001,0,6,9,1124.53
1,0.0001,0,6,9,98709.4
0,0.0001,0,6,9,1411.49
1,0.0001,0,6,9,25564.6
0,0.0001,0,6,9,1163.12
1,0.0001,0,6,9,90204
0,0.0001,0,6,9,1274.65
1,0.0001,0,6,9,109303
0,0.0001,0,6,9,1002.66
1,0.0001,0,6,9,15375.2
0,0.0001,0,6,9,1479.32
1,0.0001,0,6,9,39326.4
0,0.0001,0,6,9,585.84
1,0.0001,0,6,9,23265.5
0,0.0001,0,6,9,347.115
1,0.0001,0,6,9,162028
0,0.0001,0,6,9,376.866
1,0.0001,0,6,9,91814.2
0,0.0001,0,6,9,1040.78
1,0.0001,0,6,9,60951.3
0,0.0001,0,6,9,947.884
1,0.0001,0,6,9,99981.6
0,0.0001,0,6,9,332.728
1,0.0001,0,6,9,95005.6
0,0.0001,0,6,9,1113.04
1,0.0001,0,6,9,117319
0,0.0001,0,6,9,1158.31
1,0.0001,0,6,9,23208.5
0,0.0001,0,6,9,396.769
1,0.0001,0,6,9,33097.8
0,0.0001,0,6,9,1474.87
1,0.0001,0,6,9,23011
0,0.0001,0,6,9,973.176
1,0.0001,0,6,9,9354.77
0,0.0001,0,6,9,467.002
1,0.0001,0,6,9,106.153
0,0.0001,0,6,9,913.101
1,0.0001,0,6,9,1650.44
0,0.0001,0,6,9,523.108
1,0.0001,0,6,9,60908.4
0,0.0001,0,6,9,1976.1
1,0.0001,0,6,9,66793.1
0,0.0001,0,6,9,1823.68
1,0.0001,0,6,9,96192.2
0,0.0001,0,6,9,342.784
1,0.0001,0,6,9,69071.2
0,0.0001,0,6,9,1069.75
1,0.0001,0,6,9,44696.4
0,0.0001,0,6,9,327.901
1,0.0001,0,6,9,15596.2
0,0.0001,0,6,9,318.887
1,0.0001,0,6,9,96529.5
0,0.0001,0,6,9,1679.51
1,0.0001,0,6,9,67637.7
0,0.0001,0,6,9,607.696
1,0.0001,0,6,9,128230
0,0.0001,0,6,9,1113.07
