108.47354535758392, 91599.08858273273
216.3144606760039, 278749.52807720954
362.53668499861124, 481821.16675279534
539.6903564714223, 686943.2728639537
1012.649976041752, 1171231.406843124
1288.5984428151455, 1234491.4892704736
1630.7374564027223, 1098058.828237572
1982.1631654152495, 796866.286824775
2787.0184228451935, 769532.5422931128
4321.5785703696865, 566622.9709283096
4902.019932937537, 456105.62961858296
6112.0483932134985, 407959.47402282263
19223.21348609878, 275285.7973284428
75938.61799816914, 254027.27736395877

