error_rate,n_trials,n_fail,logical_failure_rate,stderr
0.02,500,114,0.228,0.018762515822778138
0.034736842105263156,500,223,0.446,0.022229889788300795
0.04947368421052631,500,233,0.466,0.022308921982023246
0.06421052631578947,500,253,0.506,0.02235906974809104
0.07894736842105263,500,261,0.522,0.0223390241505756
0.09368421052631579,500,311,0.622,0.02168483340955148
0.10842105263157893,500,362,0.724,0.01999119806314769
0.12315789473684209,500,410,0.82,0.017181385275931625
0.13789473684210524,500,444,0.888,0.014103616557464968
0.1526315789473684,500,470,0.94,0.010620734437881408
0.16736842105263156,500,471,0.942,0.010453324829928518
0.18210526315789471,500,494,0.988,0.004869496893930627
0.19684210526315785,500,497,0.994,0.0034536936748935927
0.211578947368421,500,498,0.996,0.002822764602300377
0.22631578947368416,500,500,1.0,0.0
0.24105263157894732,500,500,1.0,0.0
0.2557894736842105,500,500,1.0,0.0
0.27052631578947367,500,500,1.0,0.0
0.28526315789473683,500,500,1.0,0.0
0.3,500,500,1.0,0.0
